year,NDVI,NBR,NDWI,NDVI_roll5,NDVI_trend,NBR_roll5,NBR_trend,NDWI_roll5,NDWI_trend
1986,0.754,0.658,-0.698,0.7786666666666667,0.7487024390243904,0.6709999999999999,0.6588999999999999,-0.717,-0.6938658536585369
1987,0.789,0.679,-0.723,0.77425,0.750466416510319,0.66525,0.6583999999999999,-0.714,-0.695316322701689
1988,0.793,0.676,-0.73,0.7686,0.7522303939962476,0.6608,0.6578999999999999,-0.7096,-0.6967667917448406
1989,0.761,0.648,-0.705,0.7658,0.7539943714821762,0.6648000000000001,0.6573999999999999,-0.7064,-0.6982172607879926
1990,0.746,0.643,-0.692,0.7532,0.7557583489681052,0.662,0.6568999999999999,-0.6948000000000001,-0.6996677298311447
1991,0.74,0.678,-0.682,0.7422,0.7575223264540338,0.6594000000000001,0.6563999999999999,-0.6858000000000001,-0.7011181988742967
1992,0.726,0.665,-0.665,0.7462,0.7592863039399624,0.6654000000000001,0.6558999999999999,-0.6892,-0.7025686679174488
1993,0.738,0.663,-0.685,0.7416,0.761050281425891,0.6618,0.6553999999999999,-0.6854000000000001,-0.7040191369606008
1994,0.781,0.678,-0.722,0.7485999999999999,0.7628142589118201,0.6608,0.6548999999999999,-0.6914,-0.7054696060037524
1995,0.723,0.625,-0.673,0.75,0.7645782363977487,0.652,0.6543999999999999,-0.6961999999999999,-0.7069200750469045
1996,0.775,0.673,-0.712,0.755,0.7663422138836773,0.6496000000000001,0.6538999999999999,-0.6998,-0.7083705440900565
1997,0.733,0.621,-0.689,0.7605999999999999,0.7681061913696059,0.651,0.6533999999999999,-0.7041999999999999,-0.7098210131332086
1998,0.763,0.651,-0.703,0.7742,0.7698701688555349,0.6567999999999999,0.6528999999999999,-0.7158,-0.7112714821763606
1999,0.809,0.685,-0.744,0.7772,0.7716341463414635,0.6542,0.6523999999999999,-0.7203999999999999,-0.7127219512195122
2000,0.791,0.654,-0.731,0.7882,0.7733981238273921,0.6584,0.6518999999999999,-0.7282,-0.7141724202626643
2001,0.79,0.66,-0.735,0.7868,0.7751621013133208,0.65,0.6514,-0.7282,-0.7156228893058163
2002,0.788,0.642,-0.728,0.783,0.7769260787992494,0.6436,0.6508999999999998,-0.7253999999999999,-0.7170733583489683
2003,0.756,0.609,-0.703,0.7862,0.7786900562851784,0.6436000000000001,0.6503999999999999,-0.7282,-0.7185238273921204
2004,0.79,0.653,-0.73,0.7864000000000001,0.780454033771107,0.6434,0.6498999999999999,-0.7268,-0.7199742964352724
2005,0.807,0.654,-0.745,0.7746,0.7822180112570356,0.6356,0.6494,-0.7163999999999999,-0.721424765478424
2006,0.791,0.659,-0.728,0.7776,0.7839819887429642,0.6416,0.6488999999999998,-0.7176,-0.7228752345215761
2007,0.729,0.603,-0.676,0.7784000000000001,0.7857459662288933,0.6417999999999999,0.6483999999999999,-0.7176,-0.7243257035647281
2008,0.771,0.639,-0.709,0.7678,0.7875099437148219,0.635,0.6478999999999999,-0.7093999999999999,-0.7257761726078802
2009,0.794,0.654,-0.73,0.7654,0.7892739212007505,0.6292,0.6474,-0.7081999999999999,-0.7272266416510322
2010,0.754,0.62,-0.704,0.778,0.7910378986866791,0.6342,0.6468999999999998,-0.7194,-0.7286771106941843
2011,0.779,0.63,-0.722,0.7894,0.7928018761726081,0.6386000000000001,0.6463999999999999,-0.7289999999999999,-0.7301275797373359
2012,0.792,0.628,-0.732,0.7866000000000001,0.7945658536585367,0.6312,0.6458999999999999,-0.7278,-0.7315780487804879
2013,0.828,0.661,-0.757,0.794,0.7963298311444653,0.6336,0.6454,-0.7323999999999999,-0.73302851782364
2014,0.78,0.617,-0.724,0.8033999999999999,0.7980938086303939,0.64,0.6448999999999998,-0.7394000000000001,-0.734478986866792
2015,0.791,0.632,-0.727,0.808,0.7998577861163225,0.6436,0.6443999999999999,-0.7428,-0.7359294559099441
2016,0.826,0.662,-0.757,0.8064,0.8016217636022516,0.6402,0.6438999999999999,-0.7417999999999999,-0.7373799249530961
2017,0.815,0.646,-0.749,0.8112,0.8033857410881802,0.644,0.6434,-0.7454,-0.7388303939962477
2018,0.82,0.644,-0.752,0.8166,0.8051497185741088,0.6477999999999999,0.6428999999999998,-0.7508,-0.7402808630393998
2019,0.804,0.636,-0.742,0.8155999999999999,0.8069136960600374,0.6460000000000001,0.6423999999999999,-0.7487999999999999,-0.7417313320825518
2020,0.818,0.651,-0.754,0.8166,0.8086776735459664,0.6488,0.6418999999999999,-0.749,-0.7431818011257039
2021,0.821,0.653,-0.747,0.8166,0.810441651031895,0.6512,0.6414,-0.7484,-0.7446322701688559
2022,0.82,0.66,-0.75,0.8155999999999999,0.8122056285178236,0.6518,0.6408999999999998,-0.7466,-0.7460827392120075
2023,0.82,0.656,-0.749,0.8158,0.8139696060037522,0.6538,0.6403999999999999,-0.7456,-0.7475332082551596
2024,0.799,0.639,-0.733,0.8144999999999999,0.8157335834896813,0.6539999999999999,0.6398999999999999,-0.74525,-0.7489836772983116
2025,0.819,0.661,-0.749,0.8126666666666665,0.8174975609756099,0.652,0.6394,-0.7436666666666666,-0.7504341463414637
